what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337154133763
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337154133896
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.navigate.open.type",1337154134052
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337154140642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337154142947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337154288401
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337154289385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337154290424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337154291308
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337154291500
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337154291598
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1337154291605
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1337154299283
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1337154303626
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1337154310610
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337154311905
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337154323284
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337154337820
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337154338638
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337154339450
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337154340429
