what,kind,bundleId,bundleVersion,description,time
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1337151970391
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1337151979478
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337151980036
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1337151982898
started,bundle,com.aptana.ide.search.epl,1.5.0.24993,"com.aptana.ide.search.epl",1337151988483
error,log,,,"(Build 1.5.0.24993) [ERROR] Search in directory UI was not created",1337151988556
error,log,,,"(Build 1.5.0.24993) [ERROR] Search in directory UI was not created",1337151988563
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337151988703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337151994476
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openSearchDialog",1337151994581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337151995107
error,log,,,"Problems encountered during text search.",1337152000517
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337152005174
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1337152010425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337152012116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337152012251
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1337152020328
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1337152020718
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1337152024043
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1337152024327
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1337152029170
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337152048605
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337152053869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337152056003
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1337152056059
